id,name,gender,popularity
340,Liev Schreiber,2,20.378
9701,Niki Caro,1,4.126
9388,Jason Reitman,2,6.195
5236,Shane Black,2,7.55
14375,Michele Placido,2,4.154
59,David Cronenberg,2,13.633
16553,Mark Levin,2,2.585
647,Takeshi Nozue,0,1.62
612,Steven Spielberg,2,31.059
15906,Greg Richardson,2,2.047
411,Andrew Adamson,2,6.57
8982,Prachya Pinkaew,2,1.579
3291,George Clooney,2,24.426
9787,Catherine Hardwicke,1,5.381
8053,Tommy Lee Jones,2,22.212
16608,John Hillcoat,2,1.838
445,Michael Haneke,2,4.66
561,Francis Lawrence,2,8.643
118,Tim Burton,2,11.268
533,Steve Box,2,1.354
1667,Luc Jacquet,2,1.166
398,Bennett Miller,2,1.987
1985,Fernando Meirelles,2,2.913
10707,Noah Baumbach,2,4.562
9392,Neil Marshall,2,3.689
11227,Luc Besson,2,14.273
308,Jim Jarmusch,2,3.973
9007,Mark Waters,2,2.065
10027,Louis Leterrier,2,5.46
9667,John Maybury,2,1.473
953,Tom McGrath,2,7.13
1495,Ridley Scott,2,11.461
254,Peter Jackson,2,12.976
1833,Chris Columbus,2,7.109
2652,David Slade,2,3.077
6961,Clare Kilner,1,0.972
8976,Nigel Cole,2,1.23
10060,Jim Sheridan,2,4.446
1947,Lasse Hallström,2,8.913
8292,John Singleton,2,7.787
1696,Rob Zombie,2,8.758
257,Roman Polanski,2,6.126
9763,Danny Cannon,2,1.376
787,Doug Liman,2,7.993
7453,Garth Jennings,2,5.28
1635,Michael Bay,2,16.514
11283,Kirk Jones,2,1.706
1826,Cédric Klapisch,2,2.228
20760,Michael LaBash,2,0.747
25,Sam Mendes,2,8.82
9291,Peter Segal,2,8.37
9913,Iain Softley,2,1.401
8066,Marc Forster,2,6.667
215,Darren Lynn Bousman,2,5.776
8488,Andy Tennant,2,3.43
8643,Scott Derrickson,2,5.392
11400,Terrence Malick,2,7.915
74,Steven Spielberg,2,31.059
9522,David Dobkin,2,2.563
9779,Ken Kwapis,2,1.516
9681,Lasse Hallström,2,8.913
9315,Robert Schwentke,2,1.862
7873,David Ayer,2,5.261
231,Stephen Gaghan,2,2.197
9928,Chris Wedge,2,3.447
13417,Elliot M. Bour,2,1.103
6795,Jon Favreau,2,32.622
10851,Guy Ritchie,2,30.444
13374,Tim Fywell,2,1.166
6957,Judd Apatow,2,3.947
11096,John Polson,2,3.277
11460,Wes Craven,2,6.101
9777,John Madden,2,2.663
2026,Florent-Emilio Siri,2,1.426
9335,Louis Leterrier,2,5.46
5289,Tony Giglio,2,3.745
9043,Thomas Bezucha,2,1.352
179,Sydney Pollack,2,6.484
8999,Mikael Håfström,2,2.59
7553,Rob McKittrick,2,0.923
11459,Mike Mitchell,2,4.986
11431,Peter Farrelly,2,5.409
